"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.901814245E2,6.505916345E1,2.546635317E1,1.670078735E1,9.458897991E-1,1.689732068E2,6.579847057E0,4.683474533E0
1.911814015E2,6.505915933E1,2.546634834E1,1.671062097E1,7.666415450E-1,1.733293643E2,6.707475289E0,4.541122947E0
1.921813799E2,6.505915050E1,2.546633699E1,1.704823680E1,6.870814079E-1,1.801245460E2,6.754835447E0,4.421985210E0
1.931813594E2,6.505914027E1,2.546633397E1,1.690374995E1,7.379403052E-1,1.754737835E2,6.723159447E0,4.545250852E0
1.941813408E2,6.505913649E1,2.546632695E1,1.694249579E1,5.250656162E-1,1.815296063E2,6.689046664E0,4.472556041E0
1.951813227E2,6.505913626E1,2.546631367E1,1.727682720E1,3.590666106E-1,1.815516115E2,6.735367047E0,4.284371613E0
1.961813054E2,6.505911493E1,2.546631750E1,1.690478454E1,7.673380852E-1,1.850133686E2,6.669775191E0,4.418328402E0
1.971812885E2,6.505909875E1,2.546630767E1,1.742497419E1,8.941384200E-1,1.890335310E2,6.662150637E0,4.502949573E0
1.981812726E2,6.505909450E1,2.546630145E1,1.750613502E1,6.607373397E-1,1.941102791E2,6.667320447E0,4.582465063E0
1.991812578E2,6.505908434E1,2.546630822E1,1.743617854E1,5.479163115E-1,1.831902818E2,6.593467303E0,4.338092133E0
2.001812438E2,6.505907019E1,2.546630907E1,1.729029214E1,6.262415991E-1,1.748326148E2,6.687428495E0,4.125325273E0
2.011812303E2,6.505906409E1,2.546631458E1,1.712418853E1,5.342891537E-1,1.710758174E2,6.908486377E0,4.007735515E0
2.021812168E2,6.505906077E1,2.546631290E1,1.699173167E1,5.218382153E-1,1.710758161E2,6.935704007E0,3.716691329E0
2.031812044E2,6.505905855E1,2.546632842E1,1.694604037E1,4.147790558E-1,1.710758292E2,6.965728266E0,3.615269435E0
2.041811932E2,6.505905418E1,2.546632064E1,1.700650118E1,4.144620956E-1,1.710758228E2,6.971081222E0,3.536966293E0
